year_month,year,month,source,count
2015-12,2015,12,records,24
2015-12,2015,12,solarcity,40
2015-12,2015,12,sullivan,43
2015-12,2015,12,sunrun,214
2015-12,2015,12,titan,241
2016-01,2016,1,records,11
2016-01,2016,1,solarcity,69
2016-01,2016,1,sullivan,45
2016-01,2016,1,sunrun,182
2016-01,2016,1,titan,250
2016-02,2016,2,records,14
2016-02,2016,2,solarcity,43
2016-02,2016,2,sullivan,27
2016-02,2016,2,sunrun,201
2016-02,2016,2,titan,279
2016-03,2016,3,records,10
2016-03,2016,3,solarcity,58
2016-03,2016,3,sullivan,31
2016-03,2016,3,sunrun,212
2016-03,2016,3,titan,308
2016-04,2016,4,records,8
2016-04,2016,4,solarcity,62
2016-04,2016,4,sullivan,40
2016-04,2016,4,sunrun,242
2016-04,2016,4,titan,267
2016-05,2016,5,records,10
2016-05,2016,5,solarcity,62
2016-05,2016,5,sullivan,48
2016-05,2016,5,sunrun,234
2016-05,2016,5,titan,304
2016-06,2016,6,records,9
2016-06,2016,6,solarcity,53
2016-06,2016,6,sullivan,25
2016-06,2016,6,sunrun,204
2016-06,2016,6,titan,290
2016-07,2016,7,records,10
2016-07,2016,7,solarcity,44
2016-07,2016,7,sullivan,14
2016-07,2016,7,sunrun,220
2016-07,2016,7,titan,291
2016-08,2016,8,records,12
2016-08,2016,8,solarcity,82
2016-08,2016,8,sullivan,11
2016-08,2016,8,sunrun,229
2016-08,2016,8,titan,435
2016-09,2016,9,records,5
2016-09,2016,9,solarcity,61
2016-09,2016,9,sullivan,31
2016-09,2016,9,sunrun,180
2016-09,2016,9,titan,396
2016-10,2016,10,records,13
2016-10,2016,10,solarcity,53
2016-10,2016,10,sullivan,35
2016-10,2016,10,sunrun,194
2016-10,2016,10,titan,607
2016-11,2016,11,records,8
2016-11,2016,11,solarcity,51
2016-11,2016,11,sullivan,38
2016-11,2016,11,sunrun,146
2016-11,2016,11,titan,339
2016-12,2016,12,records,7
2016-12,2016,12,solarcity,27
2016-12,2016,12,sullivan,34
2016-12,2016,12,sunrun,160
2016-12,2016,12,titan,346
2017-01,2017,1,records,3
2017-01,2017,1,solarcity,41
2017-01,2017,1,sullivan,22
2017-01,2017,1,sunrun,132
2017-01,2017,1,titan,443
2017-02,2017,2,records,12
2017-02,2017,2,solarcity,56
2017-02,2017,2,sullivan,18
2017-02,2017,2,sunrun,90
2017-02,2017,2,titan,477
2017-03,2017,3,records,5
2017-03,2017,3,solarcity,37
2017-03,2017,3,sullivan,45
2017-03,2017,3,sunrun,129
2017-03,2017,3,titan,590
2017-04,2017,4,records,5
2017-04,2017,4,solarcity,40
2017-04,2017,4,sullivan,22
2017-04,2017,4,sunrun,111
2017-04,2017,4,titan,518
2017-05,2017,5,records,33
2017-05,2017,5,solarcity,41
2017-05,2017,5,sullivan,35
2017-05,2017,5,sunrun,143
2017-05,2017,5,titan,507
2017-06,2017,6,records,24
2017-06,2017,6,solarcity,34
2017-06,2017,6,sullivan,18
2017-06,2017,6,sunrun,158
2017-06,2017,6,titan,444
2017-07,2017,7,records,15
2017-07,2017,7,solarcity,22
2017-07,2017,7,sullivan,21
2017-07,2017,7,sunrun,135
2017-07,2017,7,titan,545
2017-08,2017,8,records,26
2017-08,2017,8,solarcity,37
2017-08,2017,8,sullivan,36
2017-08,2017,8,sunrun,162
2017-08,2017,8,titan,922
2017-09,2017,9,records,22
2017-09,2017,9,solarcity,19
2017-09,2017,9,sullivan,20
2017-09,2017,9,sunrun,134
2017-09,2017,9,titan,568
2017-10,2017,10,records,35
2017-10,2017,10,solarcity,31
2017-10,2017,10,sullivan,28
2017-10,2017,10,sunrun,125
2017-10,2017,10,titan,886
2017-11,2017,11,records,30
2017-11,2017,11,solarcity,21
2017-11,2017,11,sullivan,27
2017-11,2017,11,sunrun,138
2017-11,2017,11,titan,914
2017-12,2017,12,records,25
2017-12,2017,12,solarcity,21
2017-12,2017,12,sullivan,22
2017-12,2017,12,sunrun,147
2017-12,2017,12,titan,691
2018-01,2018,1,freedom_forever,3
2018-01,2018,1,records,31
2018-01,2018,1,solarcity,29
2018-01,2018,1,sullivan,20
2018-01,2018,1,sunrun,116
2018-01,2018,1,titan,656
2018-02,2018,2,freedom_forever,15
2018-02,2018,2,records,21
2018-02,2018,2,solarcity,8
2018-02,2018,2,sullivan,50
2018-02,2018,2,sunrun,156
2018-02,2018,2,titan,693
2018-03,2018,3,freedom_forever,9
2018-03,2018,3,records,33
2018-03,2018,3,solarcity,10
2018-03,2018,3,sullivan,82
2018-03,2018,3,sunrun,150
2018-03,2018,3,titan,770
2018-04,2018,4,freedom_forever,13
2018-04,2018,4,records,25
2018-04,2018,4,solarcity,15
2018-04,2018,4,sullivan,86
2018-04,2018,4,sunrun,167
2018-04,2018,4,titan,609
2018-05,2018,5,freedom_forever,22
2018-05,2018,5,records,42
2018-05,2018,5,solarcity,8
2018-05,2018,5,sullivan,50
2018-05,2018,5,sunrun,168
2018-05,2018,5,titan,628
2018-06,2018,6,freedom_forever,6
2018-06,2018,6,records,45
2018-06,2018,6,solarcity,13
2018-06,2018,6,sullivan,45
2018-06,2018,6,sunrun,152
2018-06,2018,6,titan,531
2018-07,2018,7,freedom_forever,26
2018-07,2018,7,records,42
2018-07,2018,7,solarcity,11
2018-07,2018,7,sullivan,49
2018-07,2018,7,sunrun,184
2018-07,2018,7,titan,568
2018-08,2018,8,freedom_forever,14
2018-08,2018,8,records,37
2018-08,2018,8,solarcity,13
2018-08,2018,8,sullivan,67
2018-08,2018,8,sunrun,233
2018-08,2018,8,titan,652
2018-09,2018,9,freedom_forever,19
2018-09,2018,9,records,24
2018-09,2018,9,solarcity,9
2018-09,2018,9,sullivan,61
2018-09,2018,9,sunrun,261
2018-09,2018,9,titan,544
